model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_2.bin,knn,30,2,196,svm,0.723502304,0.737944925,0.723502304,0.724561051,,0.723502304,0.723502304,0.723502304
models/ft_unsupervised_N_2.bin,knn,30,2,196,knn,0.639016897,0.645258267,0.639016897,0.60936725,,0.639016897,0.639016897,0.639016897
models/ft_unsupervised_N_2.bin,knn,30,5,451,lr,0.737327189,0.736142175,0.737327189,0.734786442,,0.737327189,0.737327189,0.737327189
models/ft_unsupervised_N_2.bin,knn,30,5,451,svm,0.74500768,0.743773725,0.74500768,0.743523238,,0.74500768,0.74500768,0.74500768
models/ft_unsupervised_N_2.bin,knn,30,5,451,knn,0.640552995,0.640319191,0.640552995,0.620320844,,0.640552995,0.640552995,0.640552995
models/ft_unsupervised_N_2.bin,knn,40,1,90,lr,0.677419355,0.685416609,0.677419355,0.658705983,,0.677419355,0.677419355,0.677419355
models/ft_unsupervised_N_2.bin,knn,40,1,90,svm,0.615975422,0.684841686,0.615975422,0.53100104,,0.615975422,0.615975422,0.615975422
models/ft_unsupervised_N_2.bin,knn,40,1,90,knn,0.642089094,0.662887936,0.642089094,0.60078446,,0.642089094,0.642089094,0.642089094
models/ft_unsupervised_N_2.bin,knn,40,2,154,lr,0.658986175,0.66418506,0.658986175,0.637997253,,0.658986175,0.658986175,0.658986175
models/ft_unsupervised_N_2.bin,knn,40,2,154,svm,0.649769585,0.663592759,0.649769585,0.617526686,,0.649769585,0.649769585,0.649769585
models/ft_unsupervised_N_2.bin,knn,40,2,154,knn,0.657450077,0.68516286,0.657450077,0.618814952,,0.657450077,0.657450077,0.657450077
models/ft_unsupervised_N_2.bin,knn,40,5,346,lr,0.751152074,0.750016566,0.751152074,0.749540985,,0.751152074,0.751152074,0.751152074
models/ft_unsupervised_N_2.bin,knn,40,5,346,svm,0.735791091,0.735047087,0.735791091,0.735306977,,0.735791091,0.735791091,0.735791091
